名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
乐贝教育,四川乐贝美家母婴服务有限公司,乐贝教育是一个育儿教育平台，主要针对0-3岁家庭，提供育儿在线咨询及在线育儿课程服务，且专家在3分钟内解答问题，其中课程包括早教、护理、育儿等。,四川乐贝美家母婴服务有限公司,成都高新区益州大道中段888号1栋1604号,,2016-04-22,罗小娅,200万元人民币,91510100MA61UE318A
蓝橡树,上海蓝歆教育科技有限公司,蓝橡树是一家面向中国家长的留学和国际教育资讯平台。由哈佛本科毕业生和国际教育专家创立，国际高校的介绍供用户参考网站，用来提供相关的教育咨询的查询服务和论坛讨论功能。,上海蓝歆教育科技有限公司,上海市徐汇区虹桥路333号2幢125室,310104000572072,2014-04-04,张伟琪,13.8889万元人民币,9131010430134988XA,www.lanxiangshu.cn
君威新能,沈阳君威新能科技有限公司,君威新能是一家智能武器弹用热电池及锂电池制造商，主要产品包括热电池、蓄电池、充电器、检查仪、激发器以及经济型热电池等，具备全套军工特业资质，可应用于智能武器、航空、航天以及船舶等领域。,沈阳君威新能科技有限公司,沈阳市皇姑区阳山路1-8号,210100000003548,2007-02-15,韩大冬,1397.7869万元人民币,91210100798462342G,www.jwxnkj.com
集好视频,北京宇塔字节科技有限公司,集好视频是新生代视频内容APP，中国最大众化的视频内容服务提供者。为用户提供丰富、高清、流畅的专业视频体验，致力于让人们在观看视频的同时得到更多的收获。好多集视频打造涵盖电影、电视剧、综艺、动漫在内的十余种类型的丰富的视频内容库。,北京宇塔字节科技有限公司,北京市海淀区中关村大街甲28号5层北侧5F413号,,2018-08-21,宋歌,125万元人民币,91110108MA01E70U9K,www.yutabyte.com
创维群欣,深圳市创维群欣安防科技股份有限公司,深圳市创维群欣安防科技股份有限公司成立于2003年，是中国著名家电企业创维集团旗下负责专业显示业务和安全智控解决方案的产业公司，聚焦安防、智慧城市、智慧家庭、商用显示、教育交互式电子白板等显示领域，借助互联网和云存储、云计算等技术，不断提升产品的智能化水平，通过企业建立的定制化、小批量、多品种等研发、供应链和制造能力，满足客户个性化需要，为客户提供完整的系统显示方案。,深圳市创维群欣安防科技股份有限公司,深圳市龙岗区宝龙工业城宝龙六路1号,440301103152457,2003-03-11,胡朝晖,16000万元人民币,91440300746637892H,www.skyworth-qx.com
travelplan,长沙拓科电子商务有限公司,长沙拓科电子商务有限公司是一家互联网销售服务提供商。,长沙拓科电子商务有限公司,长沙市芙蓉区万家丽北路三段569号银港水晶城B2栋501房,430102000158345,2012-06-06,尹立敏,100万元人民币,91430102597578867R
丽江济海,丽江济海文创投资开发有限公司,丽江济海是一家综合性企业，主要经营包括文化项目投资；2018年10月，丽江济海文创被华侨城收购了51%的股份，完成了最新一轮融资，拟将更进一步发展。,丽江济海文创投资开发有限公司,云南省丽江市古城区香江花园二期尚水居34栋4-2,530700000010786,2017-11-17,汪文进,2000万元人民币,91530700MA6MEJ6X4Y
澳洲汽车网,浙江嘉傲科技有限公司,AUCN澳洲汽车网是澳大利亚一家智能汽车交易及综合服务平台，专注于大数据技术、人工智能技术与区块链技术在汽车交易与综合服务方面的应用，主要服务包括基于区块链技术的上链汽车交易、汽车金融保险服务，基于大数据和人工智能技术的二手车买卖估价、智能车源推送以及智能广告投送等服务。,浙江嘉傲科技有限公司,,,2018-02-24,余嘉敏,2000万元人民币,91330101MA2B0XN23D,aucn.net.au
北大方正人寿,北大方正人寿保险有限公司,北大方正人寿保险有限公司是由北大方正集团有限公司、明治安田生命保险相互会社和海尔集团旗下的青岛海尔投资发展有限公司联合组建的一家中外合资保险机构（原名：海尔人寿保险有限公司），经中国保险监督管理委员会批准，于2002年11月28日正式成立，总部设立在上海，专为社会大众提供各类人寿、健康、和人身意外伤害保险等产品。方正集团、明治安田生命与海尔集团分别持有北大方正人寿51%、29.24%和19.76%的股份。,北大方正人寿保险有限公司,四川省成都市锦江区人民南路一段新光华街7号航天科技大厦21层2101、2105、2106、2107、2108室,310000400323921,2002-11-28,施华,193000万元人民币,9131000074561367XJ,www.pkufi.com
诺比侃,成都诺比侃科技有限公司,企业专注高铁智能运维细分市场，企业目标成为全球铁路智能检测与数据服务专家。,成都诺比侃科技有限公司,成都市青羊区瑞南街33号2幢1层31号,510105000469050,2015-03-06,廖峪,508.47万元人民币,91510105331938714J,www.nuobikan.com
广东太平洋资产,广东太平洋资产管理有限公司,广东太平洋资产管理有限公司是经国家工商行政部门批准，登记注册成立的大型专业资产管理集团公司，注册资本为2亿元。广东太平洋资产管理有限公司由国际风险管理资本和国内大型实业家共同发起，拥有雄厚的资金基础，国际化的人力资本团队，旨在成功打造具备国内一流水准、上市运作的中小企业融资服务、资本管理平台。,广东太平洋资产管理有限公司,广州市天河区体育西路191号B塔3212--3213单元,440101000269817,2003-01-02,沈阿英,20000万元人民币,91440101746277735P,www.moneyking.cn
象外科技,湖南象外科技有限公司,象外科技，成立于2014年7月，位于湖南省永州市经济开发区亲水路青年创新创业园，已于2014年12月11日正式开工。该项目总投资20亿元，占地1000亩，其中一期投资3.6亿元，占地180亩，该项目一开工，即创造了两项全省第一：其一、该园区是省政府园区建设“135工程”实施后，全省最先正式开工的创新创业园区;其二、该园区系全省第一家由青年企业家协会自筹资金投资兴建的创新创业园区一期工程，拥有独立办公大楼、员工宿舍、生产厂房以及员工户外活动设施。,湖南象外科技有限公司,湖南省永州市冷水滩区亲水路（永州经济技术开发区内）,431100000050520,2015-02-04,李杰,8000万人民币,,www.xiangwai.com
长城乳业,张家口长城乳业有限公司,"""公司是在原张家口市牛奶公司的基础上,通过改制组建的股份制企业。张家口市牛奶公司1956年建厂,2001年改制为张家口长城乳业有限公司,2010年根据张家口城市整体规划的要求,整体搬迁到产业集聚区,对奶牛养殖、生产、检验、办公等设施全部进行了更新改造。57年的“长城牌”乳制品,深得消费者的信赖,为保证市民喝上“放心奶”做出了巨大贡献。目前生产销售巴氏杀菌乳、灭菌乳、发酵乳和奶粉,调制乳和乳饮料的生产许可证已经报批。巴氏奶和酸牛奶(低温产品)是我公司的主打产品。产品销售区域目前在张家口市区县。销售渠道为订奶到户""",张家口长城乳业有限公司,,130000400001557,2001-02-21,赵伟师,1500万元人民币,91130700601243251J,www.zjkccry.com
五方教育,湖南五方教育科技股份有限公司,五方教育是一家家校互动信息综合服务商，主要为K12阶段的学校、学生和家长提供教育信息综合运营服务和知行实践教育综合服务两大类服务。依托“教育+”APP作为综合门户，研发了各类软、硬件平台资源，面向教育主管部门、学校、 老师、家长延伸出了综合信息化服务，具体包括一卡通、人人通、学校个性化开发及平安校园等。,湖南五方教育科技股份有限公司,长沙高新开发区麓枫路61号湘麓国际花园二期酒店、公寓3013房,430000000037892,未知,佘晏飞,6600万元人民币,914301007533654930,www.wfedu.com.cn
三源集团,天津三源电力信息技术股份有限公司,三源集团是一家电力行业信息化服务提供商，致力于以电网行业为主的企业管理系统咨询、研发、实施和运维服务，主营业务包括设备生产管理、基建工程管理系统建设、弱电与安防工程施工、产品订制开发和商务智能分析等内容。,天津三源电力信息技术股份有限公司,华苑产业区物华道2号A座3093室,120193000000456,2007-07-13,杨宁,1500万元人民币,911201166630775006
厚德食品,厚德食品股份有限公司,吉林厚德食品有限公司座落在全国绿色生态城市—吉林省辽源市。原名为吉林金翼食品有限公司，是一家集农产品种植、饲料加工、蛋鸡养殖、生物质能源、蛋品深加工农业全循环农产品加工产业集团。公司始创于2007年，注册资金8000万元，占地面积93000平方米。现拥有吉林金翼蛋品有限公司、农乐饲料有限公司等多家子公司，是吉林省唯一一家对新加坡出口食品企业，是中国最大的蛋品加工企业。,厚德食品股份有限公司,辽源市东辽现代农业科技产业园区（辽丰公路216公里处）,220422000002939,2007-07-30,杨涛,40590万元人民币,91220422664266370A,www.houde-food.com
信维股份,广州信维电子科技股份有限公司,信维股份（股票代码：836447），是一家云端设备深度设计公司，是具有云端产品研发设计、制造、技术和售后服务的高新技术企业。涉及的产品主要为服务器、存储、超算、工作站、云终端。,广州信维电子科技股份有限公司,广州高新技术产业开发区科学城开源大道11号A4栋第三层,440106000376058,2005-09-02,宋陆怡,7000万元人民币,914401017783784265,www.trusme.com.cn
湘将鑫精密,东莞市湘将鑫精密科技有限公司,湘将鑫精密是一家精密五金产品提供商，主要从事智能手机、平板电脑等消费电子产品的精密金属结构件的研发、生产及销售。,东莞市湘将鑫精密科技有限公司,,441900001084327,2011-06-03,刘建中,10000万元人民币,91441900576432797W,www.dgxjx.com
嘉华固井,宁夏嘉华固井材料有限公司,嘉华固井材料是一家非金属特种工程材料制造商，专注于非金属特种工程材料制造领域，同时提供应用解决方案，产品涉及低密度固井复合材料，主要采用“山牌”商标，拥有年产特种材料300万吨的生产能力。,宁夏嘉华固井材料有限公司,,640323000001340,2011-06-13,赵亮,2000万元人民币,916403235748587190
万商壹站,湖南万商壹站电子商务有限公司,“万商壹站”定位为中国休闲食品行业深度垂直B2B电商平台，聚焦服务于食品生产厂家和门店销售终端，利用线上互联网技术和线下区域性分布式仓储配送体系，搭建一个生产厂家与销售终端点对点直通的产品供应、 交易担保、仓储服务、物流配送、售后服务、市场推广、终端促销、产业金融的服务平台。,湖南万商壹站电子商务有限公司,长沙市雨花区万家丽路中路一段469号圭水大厦807房,430105000094527,2013-05-29,王绍敏,2539.68万元人民币,914301110705554236,www.wsyz1688.com
快早餐,西安涅槃软件科技有限公司,快早餐是一个新型支付技术，切入早餐行业，在早餐买卖过程中，商户只需在摊点边架起收款手机，用户点单后在碰碰钱包内输入金额，点击确认后将手机屏幕对准商户的手机，“滴”声后支付成功，小额支付可在1秒内完成，整个过程快捷简单。,西安涅槃软件科技有限公司,西安市高新区科技路48号创业广场1幢C0101号1F028号,610131100235046,2015-11-16,杨伟宁,62.5万元人民币,91610131MA6TX6LE95,www.kzaocan.com
兰可琪,南京兰可琪文化传播有限公司,南京兰可琪文化传播有限公司与优漫卡通卫视强强结合，联手打造了兰可琪绘本美学生活馆和优丫漫绘本馆两大品牌，不仅可以满足不同投资客户的需求，更为绘本馆的成功经营奠定了坚实的基础。,南京兰可琪文化传播有限公司,南京市江宁区秣陵街道庄排路158号紫元府3幢1503室,320121000385494,2015-05-27,袁震,600万元人民币,91320115339276380W,www.lankeqi.net
芝麻狐,广州芝麻狐软件技术有限公司,广州芝麻狐软件技术有限公司由外资企业团队成立，是一家集互联网开发、网络运营、互联网服务技术等技术为核心的科技公司。其主要专注于技术创新、投身于互联网事业。同事“芝麻狐”是一家快速成长、锐意进取的年轻科技公司。,广州芝麻狐软件技术有限公司,广州市海珠区江南大道中82号1514房(仅限办公用途),,2018-07-18,王令令,50万人民币元,91440101MA5B73JE8A
华创微电子,北京北方华创微电子装备有限公司,北京北方华创微电子装备有限公司是一家半导体装备生产制造商，北京电控集团下属的国有高科技企业。北方华创集团通过对原七星电子和原北方微电子公司半导体装备业务的深度整合，构建了中国唯一半导体装备产业上市平台。,北京北方华创微电子装备有限公司,,110105003352680,2001-10-25,赵晋荣,24484.76万元人民币,91110302801786752A,www.naura.com
包公有财,安徽拿拿信息科技有限公司,包公有财是安徽拿拿信息科技有限公司创建的移动理财平台，旨在为投资人和借款人之间搭建专业、高效、公平、透明、安全的信息服务平台，依托雄厚的资金资本和革命性技术的双重驱动，依托大数据用户画像、AI智能算法等核心技术手段帮助理财人精准匹配优质资产，为用户提供安全、高收益兼具的全托式理财服务。,安徽拿拿信息科技有限公司,合肥市政务区新地中心10号楼4909室,340100002055679,2017-08-31,王曾,5000万元人民币,91340100MA2NYYJ00W,www.baogongyoucai.com
家园科技,深圳市家园共享网络科技有限公司,深圳市家园共享网络科技有限公司是一家区块链相关产品研发商，该公司是较早从事区块链技术开发的公司，公司专注于区块链数字货币、币币、C2C场外、钱包等系统开发、运营、维护及相关业务，经过多年的技术积累和沉淀，已积累了众多的客户定制案例，目前拥有多个亿级项目开发运维经验，深圳市家园共享旗下目前拥有一支50多个人，技术领先高精尖开发团队，熟悉各种区块链商业应用模式的开发，能快速高效为用户提供系统定制开发服务，为了更好的服务用户，公司目前已设立了策划部、项目部、推广运营部、大客户部、业务部、客服部等多个部门。,深圳市家园共享网络科技有限公司,深圳市宝安区新安街道灵芝园社区22区宝湖居花园3202,440300205944726,2018-12-03,刘仁轩,100万元人民币,91440300MA5FDU2D1T,htsqbt.com
健行仿生,深圳市健行仿生科技有限公司,健行仿生是一家机器人式智能假肢研发商，通过将人型机器人技术和身体的有机融合，设计出了全新的机器人式智能假肢。通过假肢搭载的很多传感器，实时感知用户意图和环境变化，控制电机输出合适的力矩和速度，提供动力帮助用户更好的行走。,深圳市健行仿生科技有限公司,深圳市龙岗区龙城街道黄阁路天安数码城2号楼B座401-N,440300202073967,2017-08-09,孙小军,300万元人民币,91440300MA5ENQTJ52,www.bionicm.cn
中国南方电网,中国南方电网有限责任公司,根据国务院《电力体制改革方案》，中国南方电网公司于2002年12月29日正式挂牌成立并开始运作。公司属中央管理，由国务院国资委履行出资人职责。公司经营范围为广东、广西、云南、贵州和海南，负责投资、建设和经营管理南方区域电网，经营相关的输配电业务，参与投资、建设和经营相关的跨区域输变电和联网工程;从事电力购销业务，负责电力交易与调度;从事国内外投融资业务;自主开展外贸流通经营、国际合作、对外工程承包和对外劳务合作等业务。,中国南方电网有限责任公司,,440000000021704,1999-12-16,孟振平,6000000万元人民币,9144000076384341X8
绿嘉股份,山东绿嘉木结构股份有限公司,山东绿嘉木结构股份有限公司主要从事集成材制品、指接条以及成品实木窗的生产与销售。公司的主要产品为集成材制品、指接条以及成品实木窗。,山东绿嘉木结构股份有限公司,无棣经济开发区,371623200005088,2010-07-22,傅连刚,23976.82万元人民币,913716005589357618,--
肆伍客,南京肆伍客网络科技有限公司,肆伍客是一家新生代茶饮品牌，倡导纯粹的生活态度，用真诚给年轻人做一杯好茶。全国首家定义4.5克茶与500毫升水配比是最佳口感的科学理念，并精选中国原叶茶为基底，采用极致萃茶工艺及古法冲泡方式。目前所提供饮品中既有手调原叶茶系列，也有以原叶茶为基底的茶奶系列，同时又为盛夏提供清凉透彻口感和舒爽解渴功能的冰摇系列等，不同口味满足年轻人尝试新滋味，追求最清爽的感官享受，隶属于南京肆伍客网络科技有限公司。,南京肆伍客网络科技有限公司,南京市栖霞区马群街道紫东路2号57幢,320113000358542,2016-12-08,刘云鹤,125万元人民币,91320113MA1N2HMT4T
达嘉维康,湖南达嘉维康医药产业股份有限公司,"""公司通过了GSP认证,是湖南第一家政府批准的省、市、区“特门药店”。目前,目前公司主耍经营特殊病种药品零售、抗肿瘤类药品、其他药品及健康相关产品的销售。""",湖南达嘉维康医药产业股份有限公司,湖南省长沙市岳麓区茯苓路30号,430100000006362,2002-10-24,王毅清,15169.9275万元人民币,91430100743169413D,www.hntjdyf.com
全球购骑士特权,广州探途网络技术有限公司,全球购骑士特权是一家购物平台。是由广州探途网络技术有限公司发行的。汇聚了24个国家购物，境内外优质特权，是真正意义上的购物优惠券集合和特权平台。全球购骑士特权目前共覆盖全球24个国家大牌优惠，其中包括了奥特莱斯、免税店、名品商超等购物优惠，消费低至4折； 全球购骑士特权目前已接入优质的全球尊享特权，其中包括了热门视频会员充值6折起、全国62城加油9折起、全国贵宾厅9.9元体验、网易考拉购物4%返现等，将会陆续接入更多独家特权。,广州探途网络技术有限公司,广州市天河区林和东路285号(峻林大厦)29层01房,,2018-04-24,陈灿辉,100万元人民币,91440101MA5ATPGX30
AToken,北京九章比特科技有限公司,九章比特是一家数字货币钱包开发商。公司主打的产品ATOKEN， 是一款支持多币种币币兑换的手机钱包，覆盖了BTC、LTC、ETC、BCC等主流币种，具有安全便捷等特点，致力于为用户提供一体式数字资产存储方案。,北京九章比特科技有限公司,北京市海淀区海淀西大街36号5层507-14,110108024097848,2017-09-12,王波,100万元人民币,91110108MA017GHP25,www.atoken.com
酷爱广告,成都酷爱广告传媒有限公司,成都酷爱广告传媒有限公司是一家广告内容制作商。,成都酷爱广告传媒有限公司,成都市武侯区人民南路四段49号1幢804号,510107000116020,2008-11-20,刘凯,50万元人民币,91510107681815028R
晟飞科技,武汉晟飞科技有限公司,晟飞科技是一家互联网营销服务提供商，专注于网络营销服务， 为客户提供专业、全面、高效、优质和增值的互联网信息和技术服务目标。,武汉晟飞科技有限公司,武昌区武珞路586号滨湖名邸二期5栋29层1号*,420106000160970,2011-01-21,刘翠芸,50万元人民币,91420106568357117N,www.shengfei.it
亿利沙漠宝,亿利沙漠宝科技有限公司,亿利沙漠宝公司是亿利资源集团的全资子公司，是基于互联网思维与架构，从事农产品销售的平台，致力于成为国内沙漠农产品销售的佼佼者。 公司主营产品有酵素、甘草良咽等 。酵素是一种有益菌，调节人体新城代谢，增强人体机能。甘草良咽清凉润喉。,亿利沙漠宝科技有限公司,北京市朝阳区光华路15号院1号楼10层1001内-D,110000018173946,2014-11-18,王瑞丰,10000万元人民币,91110000318188285H,www.elion.cn
易民宿,深圳易民宿科技有限公司,易民宿是一个民宿线上预定平台，项目对民宿房源进行地域风情化装修，通过和传统旅行社、OTA（在线旅行社）合作的方式销售，并提供入房引领、Wi-Fi调试等线下客房服务。深圳宇创信息服务有限公司旗下产品。,深圳易民宿科技有限公司,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）经营场所：深圳市南山区深圳湾创业投资大厦1305A,440300203225308,2017-12-15,黎宇光,100万元人民币,91440300MA5EX021XB,www.ebnb.com
奥普,杭州莫丽斯科技有限公司,奥普是一个沐浴设备生产商，致力于提供浴霸、智慧厨房、热水器、通风扇、热水宝等产品。,杭州莫丽斯科技有限公司,杭州市拱墅区莫干山路1418号,330100400025510,1993-07-29,方胜康,274.6万美元,91330100609167222C,www.aupu.net
天健煤碳交易中心,乌海市天健煤焦化交易有限责任公司,乌海天健煤焦化交易中心2011年6月注册成立的一家集电子商务和传统贸易融为一体，拥有自动交易、结算、交收等多种服务功能，同时为客户提供运输仓储、物流配送、信息咨询等多种服务。交易中心将不断根据煤焦化价值链市场发展趋势，持续改进交易模式，建设以发现价格、供应链金融服务为核心的煤焦化交易平台。 目前天健煤焦化交易中心，在北京成立集团总部，开发新的煤炭交易b2b平台（天健煤炭交易中心）。,乌海市天健煤焦化交易有限责任公司,内蒙古自治区乌海市海勃湾区新华东街47号创客空间二楼西122、123办公室,150300000011310,2011-07-13,刘庆鑫,6630万元人民币,911503025788595919,www.wtctc.com
壹米滴答,壹米滴答供应链集团有限公司,壹米滴答是一个物流服务平台，首创网络众筹、运力众包等运营模式，通过省地直达、县镇直通，打造“小票快运”、“大票零担”主营产品，以末端无盲点的配送优势加以省内中转无缝对接支撑专线大车落货，以信息化系统为纽带，汇聚各区域领先物流网络及优质专线公司，融合共享，强强连接，通过多品牌聚合运营，实现产品化、标准化、信息化及网络的集约化整合发展，共建中国最强物流网络平台，为客户提供高性价比服务。,壹米滴答供应链集团有限公司,上海市青浦区徐泾镇华徐公路688号1幢2层A区256室,310118003146320,2015-06-09,杨兴运,16003.486万元人民币,91310118342289676T,www.yimidida.com
唐山境界,唐山境界实业有限公司,唐山境界是一家化工制剂生产商，主营业务为均四甲苯混合液、LPG业务及上述产品的深加工，目前主要负责甲醇制高清洁燃油项目以及120万立方液体化工品仓储物流项目，产品为高清洁汽油添加剂轻芳烃。,唐山境界实业有限公司,,130200000092429,2011-07-21,黄居彬,26315.7895万元人民币,91130225579562052C,www.tsjjsy.com
味罗社区,南昌味罗网络科技有限公司,本项目主要以绿色水果、厨房食材、零食、进口食品、日化、代购类等刚需产品为主线，在发展的过程中逐渐形成了其特有安全健康的食品供应链。,南昌味罗网络科技有限公司,,360103210132943,2017-07-20,危文宇,200万元人民币,91360103MA364DFE56
华荣科技,河南华荣网络科技有限公司,华荣科技是一家企业推广运营商，以阿里巴巴集团支付宝口碑，钉钉两大产品为主要业务线，负责河南区域市场推广及市场运营工作。,河南华荣网络科技有限公司,,410104000174306,2015-11-27,王建新,200万元人民币,91410104MA3X5CRW6W
河津市建筑工程有限公司,山西安华建设工程有限公司,河津市建筑工程有限公司始建于1951年，是国家房屋建筑总承包一级施工企业，拥有房地产开发资质叁级、市政公用工程施工总承包贰级、公路工程施工总承包叁级、建筑装修装饰专业承包贰级、园林古建筑工程专业承包贰级、机电设备安装工程专业承包贰级、混凝土预制构建专业贰级、地基与基础工程专业承包贰级、金属门窗工程专业承包贰级等资质，主要从事施工设计、房地产开发、公路桥梁建设、市政公用工程、建筑科研、新技术开发、设备租赁、建筑建材的生产和销售。现有员工3500余人，其中高、中级技术职称490余人。公司拥有大中型机械设备268,山西安华建设工程有限公司,河津市新耿南街52号,140882000007867,1999-03-25,胡胜合,10000万元人民币,91140882113871654J,www.hjbuilding.com
华扬联众,华扬联众数字技术股份有限公司,"""华扬联众数字技术股份有限公司（Hylink）成立于1994年，自2002年以来一直专注于为客户提供互联网综合营销服务，目前已发展成为国内互联网营销领域内最具竞争力的领先企业之一。总部设在北京，在上海、广州、深圳设有分公司。, 多年来，华扬联众服务于国内外各行业领先客户，通过对策略、创意、媒介整合和行业发展的深度洞察，帮助他们在数字营销领域取得不断的成功。, 华扬联众曾多次荣膺国内及国际创意大赛的诸项殊荣，所占市场份额及营业规模均处于行业前列，秉承“以思创行”的理念，引领数字营销行业在创新中前行。""",华扬联众数字技术股份有限公司,,110108000676672,1994-06-28,苏同,23010.267万元人民币,91110101101343096U,www.hylinkad.com
乐知,苏州乐知橙文化创意有限公司,初创型公司，弹性工作制，打造以思维引导为核心的开放式学习社区。,苏州乐知橙文化创意有限公司,,,2018-05-03,黄美娟,10万元人民币,91320509MA1WG87526,www.52szel.com
光合文化,深圳光影合力文化传媒有限公司,ImmortalMedia，2015年初成立于深圳，是一家年轻有梦想的文化科技创新公司。以市场需求为导向，依托知识产权（IP）生态圈，专注于文化娱乐、虚拟现实（VR）等相关产业链纵深领域的开发投资与应用拓展。现有专业的品牌运营。营销策划、VR产品开发、客户服务团队。,深圳光影合力文化传媒有限公司,深圳市南山区西丽街道打石二路万科云设计公社B610-B611,440301112359043,2015-03-17,张臻,500万元人民币,91440300326685003L,www.immortalmedia.net
北京羽呈,北京羽呈文化艺术有限公司,北京羽呈定位于艺术品行业平台式综合服务机构，以对艺术品行业商业模式研究为基础，开展艺术从业人员培训、艺术家经纪管理、艺术品交易等业务，隶属于北京羽呈文化艺术有限公司。,北京羽呈文化艺术有限公司,北京市朝阳区酒仙桥路14号院5号楼1至7层101内1层105号,110105020608173,2016-01-26,于飞,142.857142万元人民币,91110105MA003BQT6B,www.yuchengculture.com
履坦科技,北京履坦科技有限公司,履坦科技是一家纯正北航血统的初创企业，以北航特种及智能车研发团队为核心力量，面向移动机器人市场，开发全地形移动机器人智能底盘，致力于解决移动机器人应对普通路面、非结构路面以及复杂地域的快速、机动、越障和姿态控制等行驶及载运要求，让移动机器人真正走向工作岗位，承担工作任务。履坦科技自2017年创立以来，潜心产品研发，已完成全地形移动机器人智能底盘的样机与测试，整机已陆续交付用户使用。,北京履坦科技有限公司,北京市海淀区知春路7号致真大厦A座4层A007,110108024046619,2017-09-04,黄川,200万元人民币,91110108MA017AE10U
兴齐眼药,沈阳兴齐眼药股份有限公司,兴齐眼药是眼科药物研发制造商，主要从事眼科药物研发、生产、销售。兴齐眼药具有专业的眼科药物研究平台，目前拥有抗菌药、抗炎药、人工泪液、角膜修复药、抗疲劳药、散瞳药、手术用药、干眼治疗药等八大系列十五个重点产品。,沈阳兴齐眼药股份有限公司,沈阳市东陵区泗水街68号,210100401000628,1977-03-24,刘继东,8243万元人民币,912101001179988209,www.sinqi.com
