名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
vape master,深圳竼克维商贸有限公司,vape master是一个电子烟品牌，VapeMaster公司是一个家集蒸汽烟设备、烟油蒸汽烟配件、服务为一体的创新型企业，公司产品先后获得欧盟RoHS、CE认证、GMP认证、美国UL、FCC等蒸汽电子烟行业五大国际权威认证公司自成立起一直着力打造自主品牌，凭借在电子烟行业内多年的研发、生产，和欧美国家市场经验，旗下品牌的RDA系列产品和新品挑战者更是在美国市场的受欢迎程度名列第一。公司致力于产品的研发及推广，产品线日尽完善并能全面覆盖市场需求。,深圳竼克维商贸有限公司,深圳市罗湖区笋岗街道宝岗路269号美芝大华电视厂1号厂房1栋第5层521单元,440301113020928,2015-06-02,石晓华,50万元人民币,91440300342657213K,www.vapemaster.cn
微供导航,南通优麦网络科技有限公司,微供导航是一家专注于家纺微商的导航平台。平台为用户提供为微商，电商，批发商提供产品及厂家信息，为代理商和厂家建立一个互相沟通交流的平台。提供行业产品动态，实时更新流行产品销售信息。,南通优麦网络科技有限公司,,320683000493800,2016-11-08,倪海华,100万元人民币,91320612MA1MYJMX6W,m.iccy.cn
新圣科技,北京新圣科技有限公司,婚秀拍是一家用VR形式进行婚纱摄影的公司。通过VR技术全力打造高端婚纱摄影新生态，成为VR婚纱摄影承接商和运营商。2017年1月将开设线下实体店正式运营。,北京新圣科技有限公司,北京市朝阳区西大望路甲12号2号楼(国家广告产业园区孵化器25124号),110105021053182,2016-04-18,赵玉峰,100万元人民币,91110105MA004WQD8N,www.xsjy-china.com
轻塑果饮,北京莱吉尔健康科技有限公司,轻塑果饮是一个主打女性塑身多梅果饮的健康品牌。轻塑多梅果饮是一款减脂、排毒、美肌产品。,北京莱吉尔健康科技有限公司,北京市朝阳区八里庄西里97号9层1005号,110105018483273,2015-01-13,李肖,125万元人民币,911101053272501328,www.vshow30.com
侠侣亲子游,厦门侠网旅游服务有限公司,「侠侣亲子游」隶属于厦门侠网旅游服务有限公司，创立于2015年，是国内领先的亲子游产品服务商和亲子特卖平台。,厦门侠网旅游服务有限公司,厦门市思明区厦禾路844号12B-5单元,350203200457003,2014-06-10,陈国桢,131.6252万元人民币,91350203685277861A,www.xialv.com
锦同医疗,杭州锦同医疗科技有限公司,锦同医疗是集科研、销售和生产为一体的综合性现代化制药企业。立足于国内市场，面向大健康领域，积极引进国外行业先进技术、产品及经营理念，为提升国内健康医疗产业做出贡献。,杭州锦同医疗科技有限公司,,330103000324996,2016-11-21,谢清涛,300万元人民币,91330103MA2806NC99
宅再生,宅再生（武汉）信息技术发展有限公司,宅再生（武汉）信息技术发展有限公司，以个人旧物回收再利用的生活服务平台APP，线上平台提交需求，线下智能回收设备完成货物交递，快速将个人废旧物自助售卖变现，帮助用户养成废旧物资分类回收的生活习惯，降低环境污染，提高废旧物品的循环利用率，提高传统回收行业从业者收入，改善行业地位，促进智慧城市的行业发展，减少国家在再生资源处理工作中所投入的财力，建立全球最大循环资源监控统计大数据库，为相关政策制定提供数据支撑。,宅再生（武汉）信息技术发展有限公司,武汉市江夏区庙山办事处江夏大道26号宏信悦谷创业园8316号,420103000261149,2014-07-07,刘臣,600万元人民币,914201033033778411,www.hbyda.com
正川股份,重庆正川医药包装材料股份有限公司,重庆正川医药包装材料股份有限公司是一家专注于医药玻璃管制瓶的研发、生产和销售的中型民营企业，年销售收入超过5亿元。为中国医药包装协会常务理事单位，是亚洲最大的玻璃管制瓶生产基地之一。,重庆正川医药包装材料股份有限公司,重庆市北碚区龙凤桥街道正川玻璃工业园,500109000014539,1989-10-27,邓勇,15120万元人民币,91500109203249834P,www.cqzcjt.com
华健蓝海,北京华健蓝海医疗科技有限责任公司,华健蓝海是一家智慧医疗技术及服务提供商，公司依托于中国科学院、中国北京大学的人工智能和医学专家以及国际先进的人工智能和机器学习技术，研究开发人工智能大数据处理技术平台，并提供医疗影像大数据判读服务、大数据人工智能云服务平台等相关服务。,北京华健蓝海医疗科技有限责任公司,北京市东城区南竹杆胡同2号1幢6层50735-1,110000450073714,2008-11-24,匡立武,1111.11111万元人民币,91110108681952612P,www.huajiantech.com
慧财税,北京慧财税智能科技有限公司,北京慧财税智能科技有限公司（以下简称慧财税）是中海汇银集团控股的高科技企业。作为财税服务领域的翘楚，慧财税关注双创生态，助力中小微企业，凭借对政策、标准的把控与服务能力积淀，在国内率先提出“财税机器人”概念，并利用互联网的传播优势、自身产品技术优势及区域业务下沉布局优势，整合各方资源能力，实现财税服务领域的转型升级与创新发展。 慧财税致力于成为全球智能财税服务的领先者。,北京慧财税智能科技有限公司,北京市海淀区西杉创意园四区11号楼1层西101-109,110102022937070,2017-02-09,夏子国,1000万元人民币,91110102MA00BRCB7J,www.huicaishui.net
码客菠萝,码客菠萝教育科技（北京）有限公司,码客菠萝是一家K12科技教育解决方案提供商，专注于为8-18岁青少年提供科技教育服务，课程包括硬件编程、密码编码、3D打印建模等，通过直播课程、动手操作等教学过程提高青少年的人机语言沟通、数理逻辑思维、空间想象创造等能力，致力为中国K12教育提供系统完备的科技教育解决方案。,码客菠萝教育科技（北京）有限公司,北京市海淀区双清路1号院内6号楼（北）一层112-9,110108023528561,2017-05-31,谭斯多,100万元人民币,91110108MA00EW449P,www.mapollo.com.cn
天巡旅行,北京天巡思凯科技有限公司,天巡网 Skyscanner中国官网，为您提供覆盖全球超过1000家航空公司航班机票，含廉价航空，国际机票，特价机票，查询预定及酒店租车等服务,北京天巡思凯科技有限公司,,110000450218813,2012-10-17,彭加伟,2890万元人民币,91110101053571771B
喵笔,深圳市启悦闻道科技教育有限责任公司,喵笔是一个针对学生的阅读、写作及社交平台，学生把自己的作文整理发布，既可以珍藏以供日后翻看，也可以让老师进行点评修改，还可以通过文字找到朋友。学生在平台上进行游戏式的团队写作训练与创作，在不断更新的玩法中提高写作水平。,深圳市启悦闻道科技教育有限责任公司,深圳市福田区沙头街道天安社区泰然四路泰然科技园210栋8G-C20,440301117371458,2016-09-07,彭鹤,100万元人民币,91440300MA5DKJME36
智德检测,河北智德检验检测股份有限公司,智德检测是一家具有独立法人资格的第三方检验检测机构，专业致力于食品，保健食品，食品添加剂，食用农产品，水质，饲料，公共场所等的检测。公司拥有一支学历高、技术精、年轻化的食品技术人才队伍，80%以上均为本科以上学历，30%以上具有中高级技术职称，能够为客户提供专业化、差异化、定制化的技术服务。公司主要业务：食品及相关产品检测，其中包括食品中添加剂含量、重金属含量、微生物、农药残留量、兽药残留量、化学物质残留量、无机元素含量的检测，还可以提供检测技术服务、技术咨询、技术培训。,河北智德检验检测股份有限公司,石家庄高新区天山大街585号3号楼4层,130101000039282,2018-01-01,庄磊,975万元人民币,911301010799748270,www.zhidejiance.com
哈投股份,哈尔滨哈投投资股份有限公司,"""哈尔滨哈投投资股份有限公司是一家主要经营能源、建材、地产等业务的公司.其主要产品有建筑材料、房地产、电力和热力能源等.该公司2010年度哈尔滨市级文明单位标兵、2010年度哈尔滨市""""中兴""""城建重点工程先进企业等一系列荣誉称号;公司热电厂先后获得""""安康杯""""竞赛活动省级优胜单位、哈尔滨市""""和谐企业""""等荣誉称号。""",哈尔滨哈投投资股份有限公司,哈尔滨市南岗区隆顺街２７号,230100100004113,1994-08-12,赵洪波,210851.3762万元人民币,91230100128025258G,www.htzjt.com
康地种业,新疆康地种业科技股份有限公司,康地种业成立于1999年12月，主要从事农作物种子的选育、研发、商业化测评、品种报审、种子生产、加工、技术服务型销售业务，是国家级农业产业化重点龙头企业和新疆农业首批高新技术企业，是国内选种和育种实力最强以及少数具备“育、繁、推一体化”经营能力的种子企业之一，多次入选中国种业五十强、中国种业骨干企业，并于2011年10月被授予中国种业AAA级信用企业。,新疆康地种业科技股份有限公司,新疆乌鲁木齐高新技术产业开发区北京南路钻石城416号盈科国际中心27层,650000030001037,1999-12-22,李汉华,10000万元人民币,91650000729148325R,www.condyseed.com
花友会,深圳市优花文化有限公司,花友会是一家用鲜花连接的精品女性花艺社交平台，通过举办线下花艺课程，汇集了近十万花友在平台上交流互动，分享花艺的美好瞬间。,深圳市优花文化有限公司,深圳市南山区粤海街道高新南七道德维森大厦203室,440306115172571,2016-02-29,李敏,111.11万元人民币,914403003601077929,huayou.me
千帆互动,千帆(天津)企业管理咨询有限公司,千帆互动是一家依托于云计算和大数据，倡导网络生活便捷化的创新型互联网公司。 我们通过对互联网海量商品的甄别，以及亿万网民行为数据的分析，致力于为用户打造便捷购物体验和个性化消费决策平台；同时，千帆互动凭借自身平台的资源优势和完善的服务体系，为企业客户提供个性化的互联网解决方案，帮助企业提升经营效率。,千帆(天津)企业管理咨询有限公司,天津华苑产业区榕苑路1号A区608单元,120193000076034,2013-04-27,刘建卫,100万元人民币,91120116066875379J,www.qianfan365.com
快到网,杭州灿越网络科技股份有限公司,"""杭州灿越网络科技有限公司是一家综合性物流解决方案服务商，旗下“快到网”是基于移动互联网的第四方智慧物流平台,以车货配载交易为切入点，以物流APP为载体，依托SAAS模式的物流管理系统，引入信用体系和第三方支付，改变传统的货运交易模式，为生产商贸企业、物流企业、货运司机提供全新的物流运营模式。""",杭州灿越网络科技股份有限公司,杭州市西湖区古翠路8号1幢3楼331室,330108000114576,2013-03-13,吴建勋,1111.11万元人民币,91330108063950708A,www.56top.cn
翠华集团,上海采华餐饮管理有限公司,香港著名连锁茶餐厅翠华餐厅，始于1967年香港的一间小小冰室。多年來，翠华餐厅一直与香港并肩奋斗成长，并发展成为代表香港特色餐饮文化的连锁式餐饮集团。首间翠华餐厅于1989年诞生，至今香港地区已詏有29间分店，澳门有1间分店。,上海采华餐饮管理有限公司,上海市徐汇区富民路291号102B室,310000400597635,2009-04-27,周铁华,7000万港元,91310000687360116B,www.tsuiwahrestaurant.com
北极光供应链,杭州络驿电子商务有限公司,杭州络驿电子商务有限公司是一家跨境商品货源解决方案提供商。公司坐落于美丽的杭州跨境电子商务综合实验园区，由一支在欧洲本土深耕供应链多年的团队组成，我们致力于为海内外B端客户提供个性化的跨境商品货源解决方案。同时，本着“让品牌无国界”的使命，我们为海外合作品牌方进入中国市场，以及国内设计师品牌出海，在目的国提供本土化的运营方案与实施。,杭州络驿电子商务有限公司,浙江省杭州市下城区杭州新天地商务中心10幢601室,330103000306488,2016-07-04,刘泰延,200万元人民币,91330103MA27Y4361M,www.aurorascm.com
载思,载思（上海）商贸有限公司,载思（上海）商贸有限公司世界知名高级时尚服装零售集团并在香港上市，代理顶尖国际时装品牌，旗下包括安娜苏、三宅一生、ETRO、Jil Sander等几十个品牌。本集团计划於上海、北京、天津、成都、杭州及多个重要城市开设新店，为其主要品牌在国内建立零售网络。 Lane Crawford Joyce Group Distribution Company Ltd. (LCJGD) 是香港Lane Crawford Joyce Group 旗下的全资附属公司。LCJGD拥有多个世界知名当代高档设计师品牌的亚洲区独家分销及经营权。2007年4月，其旗下简约经典的国际品牌Club Monaco以及注重个性与趣味的美国品牌Juicy Couture进入中国，目前为止，已经在北京，广州，成都等地拥有5家店铺。,载思（上海）商贸有限公司,上海市静安区南京西路1266号三层319室,310000400486876,2006-10-19,徐耀祥,2000万元人民币,913100007944708559
索比光伏网,北京智新传媒科技有限公司,索比光伏网是一家2005年成功上线的国内较早的专业光伏门户网站，致力于秉承“专业、迅捷、翔实”的理念，与政府、学术机构、市场调研和质量认证等公司进行了广泛而深入的合作，满足业内高端人群的阅读需求，试图成为宣传力度最强的行业媒体。,北京智新传媒科技有限公司,北京市西城区广安门外大街305号八区15、16、17号楼2层201鸿炜亿家宾馆2017室,110102011481904,2008-11-27,李何燕,150万元人民币,91110102682867575A,www.solarbe.com
Cindy&Nick,深圳市掌拓科技有限公司,cindy历险记结合了策略解谜+隐藏寻物+冒险闯关等游戏模式。隶属于深圳市掌拓科技有限公司。,深圳市掌拓科技有限公司,深圳市南山区南山街道南山大道新绿岛大厦3A13,440301105493560,2011-06-21,郑一帆,500万元人民币,91440300577657170N,www.ztopgame.cn
DP HOME,山东迪屋信息科技有限公司,"""DP·HOME是一家技术驱动的互联网服务平台，并非传统装修公司。与传统家装行业不同, DP HOME战略定位瞄准了中小装饰企业家装后市场这一垂直领域,成为4万亿市场中的领军企业,逐渐培育在市场竞争中的绝对优势,做到人无我有,人有我优。一线大咖资源坐镇,专业高端精英团队提供支持。DP'HOME是中国首创设计共享服务平台,以山东迪屋信息科技有限公司为支撑,拥有强大的技术研发团队,以3D云技术和∨R/AR技术为核心,集设计服务、技术服务、营销服务、供应链服务、金融服务、透明装修服务为体的家装后市场S2b2C平台,专注于服务全国百万级中小装饰企业及家居建材品牌商。 DP HOME打造S2b2c模式补足中小装企短板,充分发挥自身优势,快速突破发展瓶颈。""",山东迪屋信息科技有限公司,山东省济南市长清区大学科技园紫薇路800号紫薇广场c-111号205室,370113200057319,2016-09-09,孔祥腾,500万,91370113MA3CGJ9W1A,www.dphome.com.cn
珠海香洲清创孵化器,珠海香洲清创孵化器有限公司,珠海香洲清创孵化器是一家创业服务孵化器，集“引领创新+投资促进+孵化加速”功能于一体，旨在为企业和创客提供空间、资金、市场、网络、活动、社交、商务、管理等服务。,珠海香洲清创孵化器有限公司,,440400000651898,2016-05-24,陈林峰,350万元人民币,91440400MA4UPW3UX8
鼎乘汇众,四川鼎乘汇众金融服务外包有限公司,"""这是一个 移动互联网,金融 领域的项目。""",四川鼎乘汇众金融服务外包有限公司,,510107000914047,2015-07-29,胡延兵,3000万人民币,91510107350527806Y,www.jyw580.com
盛宏电子,上海盛宏电子配件有限公司,上海盛宏电子配件有限公司是一家集研发.生产.销售工业柜锁.铰链.五金配件及成套柜体配件的现代化企业。,上海盛宏电子配件有限公司,上海市金山区亭林镇松隐小康路34号2楼69室,310228001124202,2008-09-01,刘为民,50万元人民币,91310116679348475F,www.shenghongsh.cn
玉鑫环保,山东玉鑫环保科技股份有限公司,山东玉鑫环保科技股份有限公司主要业务为水处理成套设备的研发、生产、销售以及环保设施BOT运营服务，主要产品有脱盐水处理设备、锅炉补给水处理设备、化学水处理设备、中水回用设备等四类设备，运营管理服务主要为负责东佳集团中水回用项目（BOT）水处理的运营管理。,山东玉鑫环保科技股份有限公司,淄博市博山区经济开发区机械工业园,370300228037481,2002-08-28,钱勇,3200万元人民币,91370300965744508Q,www.sdyuxin.com.cn
苏州网新鼎泽,苏州网新鼎泽科技服务有限公司,浙大网新集团有限公司是依托浙江大学的产学研一体化平台发展起来的高科技服务集团，旗下拥有浙大网新科技股份有限公司（上交所上市600797）、浙江众合机电股份有限公司（深交所上市000925），业务遍及国内绝大多数省、市，以及美国、日本、东欧、东南亚和南美。在IT服务、软件外包、轨道交通、能源环保、科技园建设运营、基础设施建设运营等领域积累了深厚的产业基础和丰富的资源实力。,苏州网新鼎泽科技服务有限公司,江苏省常熟高新技术产业开发区东南大道333号1901室,320581000340255,2014-03-17,吴晓农,500万元人民币,9132058109419444X9,www.incch.com
掌上电竞,海南掌上电竞科技有限公司,掌上电竞是一家拥有网络游戏，移动平台游戏的开发能力和运营能力的技术企业。 主要做手机游戏联运，并且有自己研发的手游应用软件。,海南掌上电竞科技有限公司,,469027000043388,2015-12-08,周承彦,100.6万元人民币,91469027MA5RC94G78
艾博医学,浙江艾博医学影像诊断中心有限公司,浙江艾博医学保健中心是一个健康管理及健康体检服务提供商。将临床医学、健康管理学、预防医学、康复医学、中医药学等多学科融合，引进国内外最新健康医学的成熟技术、多模块集成，构建中西医融合一站式的“医、教、研、防、康、养”健康服务医学平台为客户提供多学科、全方位、全周期健康维护整体解决方案。,浙江艾博医学影像诊断中心有限公司,浙江省杭州市下城区庆春路138号101室、201室、202室、203室,330103000372357,2017-09-04,冯汝章,5000万元人民币,91330103MA28XLHC1R,www.hzaboo.com
惠宠,上海硕宠信息技术有限公司,惠宠是一家面向宠物医生、诊疗机构、医药从业者的专业性网络服务平台，提供医院管理、医师培训、医药交流等相关服务。本着高效服务宠物的目的，惠宠以宠物医院管理为基础，以惠宠兽医学院、惠宠检测中心等服务为核心，联合国内外一流的兽医专家团队、权威机构、优秀服务商，共同为宠物医生的临床工作提供最方便便捷的服务。,上海硕宠信息技术有限公司,,310120002807325,2015-06-18,朱成强,283.6881万元人民币,91310120342211836X,huichongpet.com
互动凌世,深圳互动凌世科技有限公司,黑店联盟是一款集合了dota2、lol、炉石、csgo等热门电竞游戏的一个电竞平台，以强专业与泛娱乐为一体，服务于广大的业余电竞玩家爱好者，为大家在游戏内外创造更多的可玩性和辅助性。,深圳互动凌世科技有限公司,深圳市南山区科苑南路虚拟大学综合楼A307,440301109575629,2014-06-12,宗恺,1000万人民币,914403003059519158,www.hudonglingshi.com
管企来,广西迅影电子科技有限公司,管企来是一个手机销售及维修服务一站式管理云平台。管企来给手机维修店铺、手机卖场提供了一套 SaaS 管理工具，主要功能有维修业务的受理、订单跟踪、流程监控、材料管理、销售管理、配件库存、员工业绩统计、经营流水统计等服务。,广西迅影电子科技有限公司,北海市北部湾东路19号东都百汇第一层C105号,450502200013099,2011-01-12,沈亚雪,200万元人民币,91450502566791796N
踪履科技,北京踪履科技有限公司,踪履科技为技术面试提供协同编程平台，通过一个链接和候选人结对编程，多语言支持，将常用问题存在数据库中以便复用，在线运行代码以便考核解决问题能力。系统包括在线测试、协同面试两个环节，其中协同面试系统可以支持面试官与候选人同时编辑、运行代码，并实时得到反馈结果。,北京踪履科技有限公司,北京市朝阳区霄云路21号1幢三层（麦子店孵化器0766号），北京市朝阳区霄云路21号1幢三层(麦子店孵化器0766号),110105021221625,2016-05-12,蒋新星,100万元人民币,91110105MA005FQA2T,www.palmscience.com
鱼邻,山西易通天下网络科技有限公司,易通天下坚持“为爱好者服务”的经营理念，专注为消费者提供高品质网络产品。,山西易通天下网络科技有限公司,太原高新区中心北街8号电子商务产业园A座16层,140191205019892,2008-04-17,程爱顺,2500万元人民币,911401006744915201,yulinapp.com
美食发现,新希望六和股份有限公司,美食发现的产品为中高端的肉类蛋白健康食品，目前产品线包括：专业线和休食线，前者是富含优质蛋白且易吸收的大块鸡胸肉，后者为调味的切块鸡胸肉、鸡肉肠、鸡肉丸等。这一系列产品最大特色是优质高蛋白、低脂低钠、富含各种微量元素及功能性营养元素。品牌的目标人群为 18-28岁健身人士，主打“好吃无负担”的品牌理念。,新希望六和股份有限公司,,510000000072738,1998-03-04,刘畅,421601.5009万元人民币,91510000709151981F,www.newhopeagri.com
雅路智能,东莞市雅路智能家居股份有限公司,东莞市雅路智能家居股份有限公司主要从事被类产品、套件类产品（含枕套、被套、床单、床笠等）、蚊帐类产品、枕头/芯类产品（含枕头、枕芯）、竹草类产品（含凉席、凉枕等）等家纺用品的研发设计、生产销售、品牌推广和渠道建设。公司的现有产品类别主要包括套件类、被类、蚊帐类、枕头/芯类、竹草类、家居服饰及其他系列产品。,东莞市雅路智能家居股份有限公司,东莞市凤岗镇油甘埔南岸村南岭路63号,441900001118398,2005-06-15,林旭生,6617.6471万元人民币,91441900776240941B,www.yaroo.com.cn
领路美国房产,家易得咨询（上海）有限公司,领路美国房产是一家房地产咨询及管理欧美企业公司，服务的对象以欧美人士为主，为客户提供物业买卖、租赁、估价、市场调研、按揭贷款服务及顾问等优质及全方位的物业服务。,家易得咨询（上海）有限公司,上海市静安区延安中路1440号第20幢512室,310000400328353,2003-01-07,刘英,27万美元,91310000746153513E
小帅影院,青岛小帅影院科技有限公司,小帅影院是一家家庭观影设备研发商，产品线覆盖便携智能微投、家用投影及智能穿戴设备等，在2米内就可以投射100寸以上的超大画面，并支持1080P高清内容，同时搭载了开放系统，支持用户下载各类APP，提供多个视频应用的下载，与正版片源商合作，根据数据为用户推荐内容。,青岛小帅影院科技有限公司,山东省青岛市高新区汇智桥路127号青岛国家大学科技园C1-301,370212230097785,2014-11-19,孙春晓,1000万元人民币,913702123214605427,www.xshuai.com
来福机械,温州来福机械制造有限公司,温州来福机械制造有限公司是一家机械制造生产型企业。本公司制造的主产品：纯净水设备、矿泉水设备、成套纯净水生产线设备、三合一灌装机、成套矿泉水生产线设备、碳酸汽水生产设备、果汁饮料生产线、反渗透设备、缩标机、冲洗灌装封盖流水线等相关配套设备。其他产品还包括：高精度液体灌装机、等压灌装机、硅藻土过滤器、微孔膜过滤器、双联过滤器、活性炭过滤器、砂棒过滤器、硅藻土过滤机、简易压盖机、简易水处理、豆浆机彩色豆腐机、饮料泵、自吸泵、液体包装机、夹层锅、冷热缸、热打码机、紫外线杀菌器等。,温州来福机械制造有限公司,瑞安市曹村镇工业区,330381000004627,1988-03-12,林孝考,100万元人民币,91330381145670718P,www.wzlaifu.com
众信旅游,上海众信国际旅行社有限公司,众信旅游是一个出境旅游综合服务平台，此公司以出境旅游产品的批发、零售以及商务会奖旅游为主要业务，并且还为旅游者提供团队游、自由行、酒店预订、签证服务、会员服务等一站式的旅游服务。,上海众信国际旅行社有限公司,上海市普陀区真光路1219号3层111室,310101000601861,2012-05-03,韩丽,2200万元人民币,91310107596402835F,www.uzai.com
云涯教育,上海云涯教育科技有限公司,上海云涯教育科技有限公司是一家学术在线背景提升服务商，现在主要有名校教授或博士指导和项目式学习两种模式。,上海云涯教育科技有限公司,上海市杨浦区铁岭路38号1层(集中登记地),,2018-06-21,叶里依,100万元人民币,91310110MA1G8QQ2XJ,www.thirdclassroom.com
益泰药业,湖北益泰药业股份有限公司,湖北益泰药业股份有限公司主要从事葡醛内酯、抗病毒类化学原料药、三氯蔗糖和草酸的研发、生产和销售。公司抗病毒类原料药主要包括阿昔洛韦、更昔洛韦、盐酸伐昔洛韦、利巴韦林等，上述产品均已取得药品注册批件并通过新版GMP认证。公司高度重视技术的研发与保护工作，共拥有12项已经获得授权的专利（9项发明专利），8项已获受理的发明专利申请，同时，公司研发成果多次荣获省、市级科技相关荣誉。,湖北益泰药业股份有限公司,湖北省天门市市郊丰城垸,429006000004140,2000-03-07,陈建旺,9990万元人民币,91429006714637839W,www.hbyitai.com.cn
金美林,北京金美林投资顾问有限公司,金美林是一家证券投资咨询服务商。,北京金美林投资顾问有限公司,北京市朝阳区久文路6号院75号楼4层401-7,110108001284117,2000-04-12,张利东,15000万元人民币,91110102721414772E
伽行科技,伽行科技（北京）有限公司,伽行科技（北京）有限公司，专注于无线充电系统的创新与综合利用，是专业的智能无线充电技术、产品及解决方案提供商。公司的无线充产品系统能效和安全性处于国际领先水平，可以广泛应用于智能机器人、电动汽车、消费电子等行业领域。,伽行科技（北京）有限公司,北京市北京经济技术开发区荣华南路2号院5号楼6层FB-1,110302023872176,2017-08-03,付璐,2000万元人民币,91110302MA00GQW33J,www.juxpower.cn
西藏青稞,西藏达热瓦青稞酒业股份有限公司,西藏达热瓦青稞酒业股份有限公司主营业务为青稞酒生产及销售。主要产品为“喜孜”青稞酒。公司曾获得国家质量监督检验检疫总局在2017年颁发的生态原产地保护的产品，中国质量协会在2016年颁发的2016年全国优秀质量管理小组，西藏自治区人民政府在2012年颁发的西藏自治区农牧业产业化经营龙头企业。,西藏达热瓦青稞酒业股份有限公司,日喀则地区仁布县佳木斯开发区,5423002000095,2006-11-06,拉琼,1200万元人民币,915402007835051864,www.xzqk.net
