名字,公司,介绍,公司,地址,身份证,时间,法人,注册金额,编号,网址
郑高人力资源,郑州郑高人力资源服务有限公司,郑高人力资源是一家人力资源服务商，主营业务包括人力资源服务，劳务服务。,郑州郑高人力资源服务有限公司,郑州高新区国槐街8号,410199000039863,2012-08-31,罗永嘉,50万元人民币,91410100054719387L
伯乐图,北京伯乐图科技有限公司,伯乐图是一家在线学习与教育网站，提供更快、更准、更近的知识学习平台。,北京伯乐图科技有限公司,北京市海淀区大钟寺13号院1号楼地下一层A04-97,110108020964080,2016-04-06,蔡应,万人民币,91110108MA004K2W8K,www.bolotu.com
贝因美,贝因美集团有限公司,贝因美是一个国产婴幼儿乳品品牌，主要面向母婴提供营养食品，包括孕期、哺乳期、断奶后恢复期奶粉和各种婴幼儿奶粉，并提供相关咨询、预包装食品、乳制品（含婴幼儿配方乳粉）的批发兼零售。,贝因美集团有限公司,杭州市滨江区南环路3758号15楼，杭州市滨江区南环路3758号,330108000007926,2003-07-15,袁芳,21274万元人民币,91330108751714725W,www.beingmate.com
花聊,深圳市南北联动有限公司,花聊是一款基于移动互联网的社交通迅工具，可以通过手机网络发送语音、图片、视频和文字，分享与交流在生活中的美丽风景和喜悦心情。,深圳市南北联动有限公司,,440307111113176,2014-08-19,褥神清,100万元人民币,914403003119555093
笑立方,上海笑立方文化创意有限公司,笑立方是一个校园用品协同开发营销平台。专注于寝室生活用品，互联网+设计，做寝室里的宜家，通过专业的设计解决市场痛点，并且借助互联网，积累社群。应用参与式协同开发营销商业模式，吸引消费者成为阶梯上涨佣金激励的Leader Buyer，同设计师、供应商、Follow,上海笑立方文化创意有限公司,上海市松江区沪松路999号1幢1层,310115003166134,2016-09-12,韩笑,200万元人民币,91310115MA1H86DH65
大佬教育咨询,北京大佬互动科技有限公司,大佬教育咨询是基于移动互联网的求职咨询。95后求 职者对于未来职业发展和目标很迷茫，我们希望通过“求职社群+师兄师姐带路”的方式来帮助全国近800万应届毕业生找到自己合适发展方向。,北京大佬互动科技有限公司,,110108019480693,2015-07-13,蔡宇奎,10万元人民币,91110108348377028E,www.songshuzizhao.com
北京铭志高科仪器设备有限公司,北京铭志高科仪器设备有限公司,北京铭志高科仪器设备有限公司是一家专业致力于电控、电测领域的高科技企业。公司测控系统的全部产品都是以高精度测量为基础，涵盖了高精度的信号前端采集，电信号采集后的控制处理，以及对电信号进行分析的全球高端测试仪器及测试系统。,北京铭志高科仪器设备有限公司,北京市北京经济技术开发区地盛北街1号院26号楼3层2单元301-3,110106013869637,2011-05-13,相金兰,1000万元人民币,911101065752239690,www.powerail.com.cn
三棱股份,江苏三棱智慧物联发展股份有限公司,三棱股份是一家智能交通与智能建筑解决方案提供商，提供基于物联网、云计算、大数据平台的智能化系统综合解决方案，主要服务有建筑智能化系统与绿色建筑系统、公路与城市交通智能化系统、公共安全智能化系统等。,江苏三棱智慧物联发展股份有限公司,昆山开发区前进东路586号,320583000044899,2001-11-15,岳建明,6000万元人民币,9132050073332933X8,www.slicity.com
利海纳,深圳前海利海纳互联网金融信息服务有限公司,深圳前海利海纳互联网金融信息服务有限公司是一家互联网金融公司，总部位于深圳南山区,深圳前海利海纳互联网金融信息服务有限公司,深圳市前海深港合作区前湾一路63号前海企业公馆25栋B单元2楼整层,440301112932479,2015-05-21,陈博超,10000万元人民币,91440300342589484C,www.lyhena.com.cn
孚盟软件,上海孚盟软件有限公司,孚盟软件运用现代互联网技术，降低企业信息化的应用门槛，让更多的小微企业可以有效的利用信息化工具提高工作效率，在共享经济时代具备更快速的市场应变能力与企业运营能力。,上海孚盟软件有限公司,,310112000668106,2007-11-29,郭彦荣,500万元人民币,913101127895273005,www.fumasoft.com
美国瑞德教育,深圳市海青藤信息咨询有限公司,总部在洛杉矶，设立全国多个办事处。主营美国游学，留学以及美国同步在线课程。,深圳市海青藤信息咨询有限公司,,440301105284010,2011-03-28,李萌,100万元人民币,91440300571962748L
美图半导体,苏州美图半导体技术有限公司,美图半导体是一家主要从事半导体和微机电系统领域微细加工设备研的公司，主要为用户提供晶圆键合设备、晶圆喷胶设备、基础工艺设备和检测设备等半导体设备，广泛应用于生物芯片、3D互联等领域。公司目前主要的产品是晶圆键合设备、晶圆喷胶设备、基础工艺设备和检测设备等半导体先进工艺设备，经过几年的研发和实验验证，目前这些产品均已为广大用户所接受。,苏州美图半导体技术有限公司,苏州工业园区星湖街218号生物纳米园A7楼506室,320594000219616,2012-01-17,王云翔,121.67万元人民币,91320594588499948T,www.memstools.cn
星耀新材料,河北星耀新材料科技有限公司,应用于半导体行业的超高纯铜、铝、银、钛等溅射靶材的研发、生产、销售；应用于集成电路引线和框架的高强度高导电铜合金的研发、生产、销售；应用于电子、电力行业的金属基复合材料的研发、生产、销售；增材制造（3D打印）；自有房屋出租；相关产品的进出口业务；新技术的研发及成果转让（依法须经批准的项目，经相关部门批准后方可开展经营活动,河北星耀新材料科技有限公司,香河开发区运河大道49号,131024000011340,2013-03-26,刁其合,6000万元人民币,9113102406314030X7
臣成医药,上海臣成医药科技有限公司,上海臣成医药科技有限公司是一家医药临床检验服务商，工作人员以临床研究协调员为主（Clinical Research Coordinator，简称CRC）通过对临床研究中心、研究者的专业支持服务，让研究中心管理更系统，研究者有限的精力更集中在专业过程上，让病人随访更有计划性，数据记录收集更及时准确，让研究各方的沟通协作更顺畅，文件管理更规范，从而让临床研究过程质量更高。,上海臣成医药科技有限公司,上海市黄浦区北京东路668号9层E座,310101000608184,2012-08-27,辛毅,100万元人民币,91310101053010560N,www.ccmed.com.cn
六一金融,广州文善互联网金融信息服务有限公司,六一金融是广州文善互联网金融信息服务有限公司旗下的互联网创新金融服务平台。以新能源汽车行业融资租赁为商业模式，通过创新的新能源网络理财方式，解决更多的新能源车源和充电桩的资金问题。倡导人人参与并因此受益的绿色理念，为用户提供安全、灵活、稳健的投资收益产品。,广州文善互联网金融信息服务有限公司,广州市天河区沙太路陶庄5号自编105号,440110000060841,2015-04-29,周振,1000万元人民币,91440115340159931R,www.61jinrong.com
小辛未来,北京小辛未来科技有限公司,北京小辛未来科技有限公司是一家政府大数据资产运营服务。聚焦政府大数据、行业大数据的开发利用，涵盖包括数据加工融合、应用建模和价值变现（数据开放共享、交易变现和数据服务）在内的全生命周期的大数据资产运营服务。,北京小辛未来科技有限公司,北京市朝阳区酒仙桥东路18号1号楼10层A1020,,2018-04-23,熊鹰扬,1000万元人民币,91110105MA01BLYL3F,www.bjmlsj.com
贝蜗科技,贝蜗科技（广州）有限公司,贝蜗科技是一家酒店影院增值服务提供商，旨在将私人影院系统和智能家居系统融入大酒店客房中，采用“共享+租赁”的方式，将影院系统免费搬入酒店，再根据用户入住费同酒店方分成。贝蜗科技采用“共享+租赁”的方式，将影院系统免费搬入酒店房间，再根据用户入住费同酒店方分成，无需服务器、落地时间快，避免了政策风险。,贝蜗科技（广州）有限公司,广州市番禺区东环街番禺大道北555号番禺节能科技园内天安科技发展大厦410,440106002320582,2017-12-26,乔旭,100万元人民币,91440101MA5ANFLY3Y
八米网,浙江双琪电子商务有限公司,八米网专业的工业电气（工业电器）采购批发平台，面向全球工业电气生产企业、科研机构、销售渠道、批发商，为行业上下游提供更专业、更全面、更便捷的一站式服务。,浙江双琪电子商务有限公司,乐清市柳市镇上池村,330382000346678,2014-10-20,林宣林,2000万元人民币,913303823076133549,8mbuy.com
we+创新街区,天津邻商科技有限公司,We+生活，一家社区O2O商业运营平台。,天津邻商科技有限公司,天津经济技术开发区第二大街57号泰达MSD-G1座9层903单元C14,120116000388027,2015-08-05,鲍捷,200万元人民币,91120116351555921G
瞳鳗智能,上海瞳鳗智能科技有限公司,瞳鳗智能是一家中大功率无线供电技术研发商。位于南上海科创核心基地——金领谷科技产业园，坐享大张江智能制造的研发、生产、贸易、进出口之便捷优势，毗邻上海交通大学、华师大、中科院等数十家科研院校，无缝连接长三角核心区，辐射全国。 专注于“中大功率无线供电技术”的研发和产业化，赋能智能行驶，以满足机器人、电动工业车辆、电动汽车在智能交通、智能制造及智能仓储等领域发展需求。,上海瞳鳗智能科技有限公司,上海市杨浦区隆昌路588号3号楼308室(集中登记地),,2018-03-29,尹晓,100万元人民币,91310110MA1G8NC81F,tomysmart.com
上海能源,上海大屯能源股份有限公司,"""上海大屯能源股份有限公司以煤电铝运为主导产业,主要产品为煤炭、铝锭、电力等.拥有四对煤炭生产矿井、四个选煤厂、一个发电厂、一个电解铝厂、一个铝加工厂和179.3公里的自营铁路专用线,还拥有机械制修、建筑安装、汽车运输以及后勤服务等单位.公司先后荣获全国五一劳动奖状、全国守合同重信用企业、全国质量效益型先进企业、全国煤炭工业质量奖、煤炭行业科技进步十佳企业、煤矿安全质量标准化公司等荣誉称号;整体通过了质量、环境、职业健康安全管理体系认证,企业技术中心被认定为国家级技术中心。""",上海大屯能源股份有限公司,,310000000074107,1999-12-29,包正明,72271.8万元人民币,91310000631587477D,www.sdtny.com
Anker街电,深圳街电科技有限公司,Anker街电是一家生活服务公司，在合作商户放置充电箱设备，为店内外消费的顾客提供移动电源租借服务。租借服务完全由用户自主完成。用户只需要扫描机箱上的二维码，根据提示操作即可借出移动电源。致产品街电充电箱荣获2016年德国红点工业设计大奖，支持随借随还、异地归还、芝麻信用分600分以上免押金借还，目前已覆盖全国六大一线城市上万家合作商家。,深圳街电科技有限公司,深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)经营场所:深圳市南山区粤海街道高新园中区科技中三路5号国人大厦B栋1F层2109、2110单元,440301503520294,2015-11-24,原源,2833.333333万元人民币,91440300358784305R,www.jiediankeji.com
零世科技,深圳零世科技有限公司,零世科技是为新零售而生的潜力玩家，我们怀着对新零售的热爱聚集在一起。 通过智能派样、AR游戏、虚拟试妆、互动云货架等黑科技智能硬件，零世科技为品牌提供线上线下互动造势的全链路解决方案：用户可以同时享受线下的体验和服务，以及线上购物的便捷，享受独一无二的、有仪式感的购物体验，品牌从中得到声量+销量+全链路数据价值沉淀，更了解用户，提供更好的产品和服务。 目前，零世科技已经与雅诗兰黛、屈臣氏、迪士尼、伊利等多个TOP品牌成为了新零售合作伙伴，并主导了天猫618快闪项目在华南区的落地。 但这只是开始，我们将不断丰富智能硬件的玩法，对新零售进行更深入的探索，希望找到有意思、有想法的伙伴，一起改变这个世界运转的方式，Keep curiosity，Keep hungry。,深圳零世科技有限公司,深圳市南山区粤海街道高新区社区白石路3609号深圳湾科技生态园二区9栋A3003C,,2018-04-20,杨一阳,103.5万元人民币,91440300MA5F3FMA98,www.zero-w.cn
中国拆迁网,吉林省崇晟科技有限责任公司,吉林省崇晟科技有限责任公司，是一个再生资源行业网络信息专业服务平台。公司以“互联网+拆迁”及“再生资源”循环利用为战略计划，以“整合拆迁，整合回收”为目标，致力于为行业内相关人士提供拆迁行业服务和信息资源。,吉林省崇晟科技有限责任公司,吉林省长春市宽城区凯旋路与台北大街交汇处长春宽城万达广场A地块6幢1002号房,220103200510974,2015-12-01,李世强,500万元人民币,91220103MA0Y3F7Y8D,www.chaiqian88.com
青松光电,西安青松光电技术有限公司,青松光电是一家LED显示技术与产品开发生产商，一家专业致力于LED显示技术/产品开发、生产、销售及系统集成的公司。公司主营室内外全彩LED显示屏产品，应用于广告媒体发布、信息发布、体育、交通等各个行业。,西安青松光电技术有限公司,西安市高新区毕原二路七号一层,610131100035991,2010-03-22,王洋,1408.1633万元人民币,91610131552308759U
PP GUN,深圳市思萌科技有限公司,深圳思萌科技成立于2013年10月10日，是一家游戏外设研发商，公司产品PPGUN是一款支持移动设备的枪形控制器，解决了在移动设备上玩FPS（第一人称射击）游戏操作手感不佳的问题，并且可以和如Oculus VR这类虚拟现实眼镜进行配合使用。PP Gun是一个移动射击游戏智能设备，为用户提供震撼的游戏交互体验。深圳思萌科技有限公司旗下产品。,深圳市思萌科技有限公司,深圳市南山区南山街道桂庙路22号向南瑞峰创业中心3楼B3015室,440301108078623,2013-10-10,曹思明,14万元人民币,914403000801194304,www.ppgun.com
博实股份,哈尔滨博实自动化股份有限公司,"""哈尔滨博实自动化股份有限公司主要从事石化化工后处理成套设备的研发、生产和销售,并为客户提供相关的服务.在合成橡胶后处理成套设备及FFS全自动包装码垛成套设备方面,公司目前是国际上少数几家能够从头到尾独立完成自主研发、成套生产和配套服务的企业之一.公司生产的主要产品包括下列两大类:1、粉粒料全自动包装码垛成套设备；2、合成橡胶后处理成套设备。""",哈尔滨博实自动化股份有限公司,哈尔滨开发区迎宾路集中区东湖街９号,230199100007441,1997-09-12,邓喜军,68170万元人民币,912301991276005724,www.boshi.cn
千禾味业,千禾味业食品股份有限公司,千禾味业食品股份有限公司是一家专业纯粮酿造“千禾”系列酱油、窖醋、料酒等调味品的企业。,千禾味业食品股份有限公司,眉山市东坡区城南岷家渡,511402000004019,1996-01-31,伍超群,32620万元人民币,91511400207311690E,www.qianhefood.com
睿和,深圳市睿和定窑文化有限公司,深圳市睿和定窑文化有限公司，是一家以研发、设计、生产、销售定窑现代简约陶瓷茶具、定窑文化陶瓷茶具等产品于一体的现代企业，主要是以“睿和”现代时尚茶具和传统文化茶具产品为主；公司在中国瓷都之一的德化自有生产基地。公司坚持以“品质卓越、睿智沉敛、现代简约”的理念专注于设计开发生产传统与现代时尚文化茶具。,深圳市睿和定窑文化有限公司,深圳市龙岗区龙城街道爱联社区新丰路7号蓝尚创业园B栋205,440307109827616,2014-07-10,刘勇,100万元人民币,914403003120368038,www.xrtgift.com
优策科技,优策联合科技（北京）有限公司,"""优策科技是一家汽车安全开发一站式服务商。成立于2016年底，由多名汽车业界的安全和质量专家组成。业务范围涵盖功能安全, ASPICE, 信息安全等，服务形式包括培训，咨询，评估，认证。旨在为客户提供国际最前沿的功能安全解决方案和相关先进技术服务。""",优策联合科技（北京）有限公司,北京市顺义区高丽营镇文化营村北(临空二路1号科技创新功能区),110108022696308,2016-12-23,秦爽昕,200万元人民币,91110108MA00AMP43F,utcer.com
luciferx1锂电智能滑板,三河市路西法电动自行车有限公司,锂电折叠滑板车，凭借其小巧便捷的设计，已经慢慢的在众多电动车类产品中脱颖而出，而目前我们所销售的产品还需要很多改进。所以我们决定研发一款具有革命性意义的未来滑板车--LUCIFERX1，我们将网络技术融入其中，并且改变整个行业目前所用的生产制造方式，将所有部件模块化，X1的所有使用者可以根据他们的使用需求，在产品上增加功能模块，目的是让他们的车变的与众不同且更加好用。我们将为X1定制一款移动APP，用户可以将个人平板电脑、智能手机等移动设备与X1进行有线连接，用户完成注册并通过软件启动车辆。此APP将集成车辆信息、车辆行驶状态、导航、移动社交和附近信息等功能，通过此软件可以让LUCIFERX1时刻保持与使用者的沟通。集成了最新的网络技术与最先进的制造工艺，这就是LUCIFERX1。,三河市路西法电动自行车有限公司,,131082000062108,2015-04-24,王彤,100万人民币,911310823361118397,www.luciferele.com
天鹏牧业,廊坊市天鹏牧业股份有限公司,廊坊市天鹏牧业股份有限公司主要经营商品猪、种猪的繁育与销售，及种猪的遗传育种等。,廊坊市天鹏牧业股份有限公司,,131002000002930,2008-12-29,吴春林,1026万元人民币,91131000682792163F
果冻宝盒,武汉智子量化科技有限公司,果冻宝盒是一款手机购物软件，每天免费为您提供天猫淘宝内容优惠劵！女装，男装，家居，母婴，鞋包，配 饰，美食等，你想要的这里都有！,武汉智子量化科技有限公司,武汉市东湖新技术开发区关南科技工业园现代·国际设计城三期6幢20层01号,,2018-08-07,李万洋,1000万,91420100MA4L0DUQ2H,app.mopland.com
大智机器人,苏州美好明天智能机器人技术有限公司,苏州美好明天智能机器人技术有限公司是苏州工业园区科技领军企业，致力于设计研发国际领先的家用智能机器人、商用机器人、机器人核心部件及智能系统综合解决方案。公司整合了国内外最顶级的技术资源，在美国硅谷和德国汉堡设有研发中心。目前公司研发的第一代产品—全球首款家庭智能陪护机器人“大智”已经正式问世，该产品拥有完全自主知识产权，各项技术指标国际领先，已获得A股上市公司天使投资。,苏州美好明天智能机器人技术有限公司,苏州工业园区仁爱路99号C126,320594000294027,2014-01-21,张超,500万元人民币,91320594091462381B,www.dazhirobot.com
芒果软件,哈尔滨芒果软件开发有限公司,公司哈尔滨芒果软件开发有限公司（简称“芒果软件公司”），芒果软件公司成立于2011年，是黑龙江逸群科技有限公司控股股东投资设立的高端软件企业，芒果软件公司是一家专注于企业信息化软件产品研究、开发、生产及销售的高科技企业。,哈尔滨芒果软件开发有限公司,哈尔滨市南岗区西大直街118号哈特大厦02#楼19层1910号,230103100285743,2011-11-03,杨斌,50万元人民币,91230103585106117G,www.mangosoft.com
晶川电子,北京晶川电子技术发展有限责任公司,北京晶川电子公司是一家电子零件销售商。成立于1996年3月，成立初期就开始在中国市场上推广分销原德国西门子电子零件集团工业电力电子器件，主要分销经营产品是西门子商标的IGBT模块和IGBT分立器件。晶川侧重把原西门子公司具有竞争力的电力电子器件介绍给国内客户，现晶川在中国市场上授权分销品牌：英飞凌（半导体），EPCOS（无源元件）；VAC（磁性元器件）均源于原西门子电子零件集团。,北京晶川电子技术发展有限责任公司,北京市丰台区南三环东路23号1号楼6层西段办公601、602号,110106003070852,1996-03-27,周文定,5000万元人民币,91110106102232005C,www.igbt.cn
旺小宝,成都国盛天丰网络科技有限公司,旺财宝是一家专业从事互联网产品研发、生产、销售和系统集成一体化的高科技企业。以自主研发的旺小宝云端智能客户管理系统为核心产品，帮助传统服务业借助移动互联网O2O应用，提升服务质量和管理效率。目前云端智能客户管理系统主要服务于餐饮、地产和KTV等行业。,成都国盛天丰网络科技有限公司,中国（四川）自由贸易试验区成都市高新区天府大道中段1366号2栋12层19号,510109000415628,2014-02-12,陈标,1511.9335万元人民币,91510100091278875G,www.wangxiaobao.com
机契之星,山西机契之星科贸有限公司,"""机契之星是一家机械制造/机电/重工,电子技术/半导体/集成电路行业公司。""",山西机契之星科贸有限公司,太原市小店区长治路103号1幢B座13层(入驻太原众孵企业孵化园服务有限公司A-95),140105080123111,2017-06-21,张建云,100万元人民币,91140105MA0HJ8N473
凯视达,北京凯视达科技有限公司,北京凯视达科技有限公司是一家专注于视频图像领域软硬件产品研发、生产及销售的高新技术企业，拥有多项国际权威认证及产品发明专利，拥有国内独创的Kommander媒体服务系统、市场占有率超过50%的LED视频处理设备、独有的LED视频色彩还原技术和任意倍频技术，是国内LED显示技术解决方案的独角兽。,北京凯视达科技有限公司,北京市海淀区安宁庄西路9号院29号楼1408,110108013956552,2011-06-14,刘金华,2500万元人民币,911101085769050139,www.kystar.net
罗曼园高级婚礼会馆,上海罗曼婚礼服务有限公司,罗曼园高级婚礼会馆隶属于上海罗曼婚礼服务有限公司，罗曼园是一家集结结婚喜宴、婚纱礼服、摄影摄像、演出布置、婚礼策划为一体的高级婚礼会馆。罗曼园的“HOUSEWEDDING”婚礼形式，成功接待操办了来自美国、日本、台湾等多个国家及地区新人的婚礼，至今已成功为超4600对新人的婚礼奉献了完美的产品及服务。,上海罗曼婚礼服务有限公司,上海市宝山区淞兴西路258号83/08,310113001096813,2013-10-23,俞晓峰,3000万元人民币,91310113080085795Y,www.r-bride.net
闪电鸡,深圳市闪电鸡科技有限公司,闪电鸡是一款为用户带来价值的电商类APP，用户通过闪电鸡前往淘宝购买商品，将会获得闪电奖励，闪电的价值随着平台订单量的增加而增长，并且用户可以随时将所持闪电对应的金额提现。,深圳市闪电鸡科技有限公司,深圳市南山区西丽街道同沙路168号凯达尔集团中心大厦2号楼605室,,2018-05-08,戴友彬,150万元人民币,91440300MA5F4BGA5A,www.shandianji.net
光速达,福建省光速达物联网科技股份有限公司,福建省光速达物联网科技股份有限公司（股票代码：871033）,福建省光速达物联网科技股份有限公司,福建省福州高新区海西高新技术产业园创新园一期7号楼,350100100300248,2013-01-28,林世端,4529.344万元人民币,91350100062256239U,www.gtscn.cn
大白互联,广州大白互联网科技有限公司,广州大白互联网科技有限公司，是一家专业从事移动互联网、互联网以及通信网络软件平台的开发和服务高科技企业。 微警作为大白最新项目产品，现如今微警注册量已突破十万大关。微警-让警务服务更便民，凡持广东省籍驾驶证的粤A牌小车车主或广州“网上车管所”实名用户，可通过“广州公安”微信号、微信或支付宝城市服务平台的“交通违法办理”版块，实时查询驾照、车辆状态，查询本人本车在全国的交通违法信息，最快10秒办结广州市内或广东省外的交通违法业务。,广州大白互联网科技有限公司,广州市南沙区中景一街3号南海璟奥园D型独立商铺（自编D3）103房（不可作厂房使用），广州市南沙区成汇街1号商务办公B栋西梯1606房（仅限办公用途）,440110000062592,2015-05-12,张震宇,1000万元人民币,91440115340181987Y,www.dabby.cn
海南椰岛,海南椰岛（集团）股份有限公司,"""海南椰岛(集团)股份有限公司是一家专注于造酒和进行相关贸易的企业.公司主业包括保健酒、营养食品、变性淀粉及贸易、房地产开发等.公司经过近20年对品牌的持续投入，已将""""椰岛""""品牌建设成为中国保健酒行业中的领军品牌之一，2013年，椰岛品牌继续保持较高知名度，""""椰岛""""品牌连续4年荣获""""保健酒品牌价值第一名""""称号。""",海南椰岛（集团）股份有限公司,海南省海口市龙昆北路13-1号,460000000123647,1992-03-03,冯彪,44820万元人民币,91460000284077383J,www.yedao.com
